Epoch,Train_Loss,Val_Loss,Train_AUC,Val_AUC,Train_F1,Val_F1
1,0.04468043858259708,0.0438818886260427,0.629165227460936,0.6756616011200054,0.002495522468633298,0.0011527377521613831
2,0.04285160274316545,0.042805828894624406,0.6811201879598668,0.7044942703664221,0.010726925748883762,0.00467083472133651
3,0.04201194327371182,0.04206108882726186,0.7057990871661406,0.727514161549436,0.015046933779106915,0.028108513152413916
4,0.04134550369771906,0.04116156465037301,0.7269185049059647,0.7478949493543272,0.017338970226266084,0.005980147297051417
5,0.04054995161474219,0.040875377076764356,0.7491741394151479,0.7542449808914199,0.022063045585400225,0.012096868418970421
6,0.03996289745536128,0.039659602953859986,0.7595009830438969,0.7657705879312958,0.02939473106430343,0.019259009752167967
7,0.03946630878636052,0.03914093576421183,0.7722242392249148,0.7789870388271528,0.032255561113156896,0.040582738661260706
8,0.039039721378819794,0.039136181915772505,0.7830736198645946,0.7809624144797382,0.03864253025395587,0.04274221962972587
9,0.03857396960596036,0.03928772509054999,0.7927309243458637,0.7823242851299772,0.044704828547155066,0.05283374091567366
10,0.038139711342670496,0.0388426947599286,0.8013063318258686,0.7875124503241568,0.051162249895975606,0.053100350483360495
